2001,3716290,3,19591367
2001,2195333,5,34847032
2001,1161568,5,75205385
2001,2266232,4,14141706
2001,1358824,4,73269484
2001,5164657,3,18421150
2001,5351489,5,46525631
2001,4343081,3,36637921
2001,3130524,4,72131108
2001,1140403,4,95451515
2001,4473280,4,45318790
2001,3144949,5,65342696
2001,4767093,5,92382102
2001,4091150,3,52519054
2001,4509061,5,84980012
2001,5633209,3,27041651
2001,1621288,3,83956876
2001,1165838,3,55169419
2001,4313803,5,16936161
2001,4212725,3,61248776
2001,3217901,3,61280425
2001,4597374,5,87438250
2001,1515591,5,98332115
2001,5401002,3,52691622
2001,4758768,3,59114389
2001,4630531,5,53753269
2001,2228927,3,81182039
2001,4300128,5,30426423
2001,1258737,3,14256354
2001,4603997,5,60702793
2001,3295978,4,27163037
2001,4598401,5,44090083
2001,1366035,3,79856122
2001,1750186,3,42656674
2001,4527670,3,58149911
2001,5117415,3,62217718
2001,1452244,3,25659152
2001,1235076,5,77848236
2001,5055958,4,22835378
2001,1857839,4,61570472
2001,1715841,3,89659745
2001,2672625,5,86713286
2001,1694863,3,59882147
2001,4684544,4,56552029
2001,4998068,5,76734263
2001,4708755,3,89651594
2001,6125428,5,25424421
2001,4438224,3,52373934
2001,1610189,3,80730162
2001,3953213,4,40582497
2001,4500533,4,21754813
2001,1770784,3,42444424
2001,5297124,4,43737314
2001,3402807,4,36094955
2001,1575714,5,57740925
2001,5353259,3,23176284
2001,4930852,3,64048801
2001,4097405,5,82437371
2001,3915988,5,50938594
2001,1698980,3,29837396
2001,4515858,3,21593454
2001,5122434,3,95504282
2001,5426151,5,29114041
2001,2469311,4,55450097
2001,6184076,4,41521042
2001,3546653,4,94623236
2001,4926240,4,74120451
2001,6319932,3,36826647
2001,1026445,5,63242869
2001,4381087,3,22938556
2001,2349032,3,26627918
2001,1372962,5,19773413
2001,3164593,5,98459365
2001,1537679,3,98135943
2001,4768751,3,99062341
2001,4179547,5,11574283
2001,3037621,4,49754229
2001,3884622,5,34577408
2001,1965759,5,63822757
2001,1210179,4,94708235
2001,5497388,4,58409477
2001,3795756,3,75485025
2001,3315932,5,76970221
2001,1615025,5,84026222
2001,1695640,4,63209614
2001,3818017,5,61935001
2001,2604932,4,24094190
2001,3037074,4,56429262
2001,1720932,4,69621318
2001,4680775,4,49944817
2001,4185847,3,94905427
2001,4429371,4,79096859
2001,4644388,3,60256096
2001,3194702,1,54839583
2001,4382271,1,22878997
2001,6124957,2,65443145
2001,5075520,3,22597195
2001,4453395,1,42175462
2001,3755982,3,12523933
2001,5700635,2,46342470
2001,3681018,3,56643514
2001,1443166,3,79074324
